mergeName,partyKey,canonicalName,name,abbrev,aka,sector,year,congress,votes,percentage,seats,nomineeNames,reps,representatives_status,status,notes,source_url,note_type,status_flag,ui_red_flag,verification_note,membership_notes,reps_source
Veterans Freedom Party,veterans-freedom-party,Veterans Freedom Party,Veterans Freedom Party,,,,2007,14th Congress,196358,1.28,1,Estrella de Leon Santos,Estrella de Leon Santos,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Alliance for Nationalism and Democracy,alliance-for-nationalism-and-democracy,Alliance for Nationalism and Democracy,Alliance for Nationalism and Democracy,,,,2007,14th Congress,188573,1.23,1,Pastor Alcover Jr.,Pastor Alcover Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Barangay Natin,barangay-natin,Barangay Natin,Barangay Natin,,,,2007,14th Congress,177068,1.15,1,Salvador Britanico,Salvador Britanico,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Kasangga sa Kaunlaran,kasangga-sa-kaunlaran,Kasangga sa Kaunlaran,Kasangga sa Kaunlaran,,,,2007,14th Congress,170594,1.11,1,Maria Lourdes Arroyo,Maria Lourdes Arroyo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bantay Partylist,bantay-partylist,Bantay Partylist,Bantay Partylist,,,,2007,14th Congress,169869,1.11,1,Jovito Palparan,Jovito Palparan,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Abakada Guro,abakada-guro,Abakada Guro,Abakada Guro,,,,2007,14th Congress,166897,1.09,1,Jonathan dela Cruz,Jonathan dela Cruz,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
1-United Transport Coalition,1-united-transport-coalition,1-United Transport Coalition,1-United Transport Coalition,,,Transport,2007,14th Congress,165012,1.08,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
Trade Union Congress Party,trade-union-congress-party,Trade Union Congress Party,Trade Union Congress Party,,TUCP; Trade Union Congress Partylist,,2007,14th Congress,162678,1.06,1,Raymond Mendoza,Raymond Mendoza,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Philippine Coconut Producers Federation,philippine-coconut-producers-federation,Philippine Coconut Producers Federation,Philippine Coconut Producers Federation,,,Agriculture / Farmers,2007,14th Congress,156007,1.02,1,Domingo Espina,Domingo Espina,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Domingo Espina took office on May 24, 2010.",https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Domingo Espina took office on May 24, 2010.",Congress membership list / party page cross-check
Ako Bicol Political Party,ako-bicol-political-party,Ako Bicol Political Party,Ako Bicol Political Party,,Ako Bicol; AKB; Ako Bicol Party-list,Regional,2010,15th Congress,1524006,5.06,3,Christopher Co; Rodel Batocabe; Alfredo Garbin Jr.,Christopher Co; Rodel Batocabe; Alfredo Garbin Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Senior Citizens Partylist,senior-citizens-partylist,Senior Citizens Partylist,Senior Citizens Partylist,,Senior Citizens; Coalition of Associations of Senior Citizens in the Philippines; Senior Citizens Party-list,Senior Citizens,2010,15th Congress,1296950,4.31,2,Godofredo Arquiza; David Kho,Godofredo Arquiza; David Kho,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | David Kho resigned on December 31, 2011; COMELEC denied the replacement petition.",https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"David Kho resigned on December 31, 2011; COMELEC denied the replacement petition.",Congress membership list / party page cross-check
Buhay Hayaan Yumabong,buhay-hayaan-yumabong,Buhay Hayaan Yumabong,Buhay Hayaan Yumabong,,Buhay; Buhay Party-List; Buhay Partylist; Buhay Hayaan Yumabong,,2010,15th Congress,1250467,4.16,2,Irwin Tieng; Mike Velarde Jr.,Irwin Tieng; Mike Velarde Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Akbayan,akbayan,Akbayan,Akbayan,,Akbayan Citizens Action Party; Akbayan Citizens' Action Party; Akbayan Party-list; Akbayan Partylist,,2010,15th Congress,1061947,3.53,2,Walden Bello; Kaka Bag-ao,Walden Bello; Kaka Bag-ao,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Gabriela Women's Party,gabriela-women-s-party,Gabriela Women's Party,Gabriela Women's Party,,Gabriela; GABRIELA; Gabriela Women's Party-list,Women,2010,15th Congress,1006752,3.35,2,Luzviminda Ilagan; Emmi de Jesus,Luzviminda Ilagan; Emmi de Jesus,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Cooperative NATCCO Network Party,cooperative-natcco-network-party,Cooperative NATCCO Network Party,Cooperative NATCCO Network Party,,Coop-NATCCO; Cooperative NATCCO Network Party; Cooperative NATCCO Network Partylist,Energy / Cooperatives,2010,15th Congress,944864,3.14,2,Cresente Paez; Jose Ping-ay,Cresente Paez; Jose Ping-ay,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
1st Consumers Alliance for Rural Energy,1st-consumers-alliance-for-rural-energy,1st Consumers Alliance for Rural Energy,1st Consumers Alliance for Rural Energy,,1-CARE; 1CARE; First Consumers Alliance for Rural Energy,Energy / Cooperatives,2010,15th Congress,770015,2.56,2,Salvador Cabaluna III; Michael Angelo Rivera,Salvador Cabaluna III; Michael Angelo Rivera,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Abono Partylist,abono-partylist,Abono Partylist,Abono,,,Agriculture / Farmers,2010,15th Congress,766993,2.55,2,Robert Raymond Estrella; Francisco Ortega III,Robert Raymond Estrella; Francisco Ortega III,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bayan Muna,bayan-muna,Bayan Muna,Bayan Muna,,,,2010,15th Congress,750100,2.49,2,Teodoro Casiño; Neri Colmenares,Teodoro Casiño; Neri Colmenares,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
An Waray,an-waray,An Waray,An Waray,,An Waray Party-list; An Waray Partylist,Regional,2010,15th Congress,712405,2.37,2,Bem Noel; Neil Benedict Montejo,Bem Noel; Neil Benedict Montejo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Citizens' Battle Against Corruption,citizens-battle-against-corruption,Citizens' Battle Against Corruption,Citizens' Battle Against Corruption,,CIBAC; Citizens Battle Against Corruption; Citizens' Battle Against Corruption,Anti-crime / Governance,2010,15th Congress,653399,2.17,2,Cinchona Cruz-Gonzales; Sherwin Tugna,Cinchona Cruz-Gonzales; Sherwin Tugna,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
A Teacher Partylist,a-teacher-partylist,A Teacher Partylist,A Teacher Partylist,,A TEACHER; Advocacy for Teacher Empowerment Through Action Cooperation and Harmony Towards Educational Reforms,Education,2010,15th Congress,617898,2.05,2,Mariano Piamonte Jr.; Julieta Cortuna,Mariano Piamonte Jr.; Julieta Cortuna,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
AGRI Partylist,agri-partylist,AGRI Partylist,Agricultural Sector Alliance of the Philippines,,,Agriculture / Farmers,2010,15th Congress,516052,1.71,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
Butil Farmers Party,butil-farmers-party,Butil Farmers Party,Butil Farmers Party,,,Agriculture / Farmers,2010,15th Congress,507091,1.69,1,Agapito Guanlao,Agapito Guanlao,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Anakpawis,anakpawis,Anakpawis,Anakpawis,,,,2010,15th Congress,447201,1.49,1,Rafael V. Mariano,Rafael V. Mariano,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Kabataan,kabataan,Kabataan,Kabataan,,Kabataan Partylist; Kabataan Party-list,Youth,2010,15th Congress,418776,1.39,1,Raymond Palatino,Raymond Palatino,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
LPG Marketers Association,lpg-marketers-association,LPG Marketers Association,LPG Marketers Association,,,Energy / Cooperatives,2010,15th Congress,417771,1.39,1,Arnel Ty,Arnel Ty,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Abante Mindanao,abante-mindanao,Abante Mindanao,Abante Mindanao,,,Regional,2010,15th Congress,378345,1.26,1,Maximo Rodriguez Jr.,Maximo Rodriguez Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Alliance of Concerned Teachers,alliance-of-concerned-teachers,Alliance of Concerned Teachers,ACT Teachers,,Alliance of Concerned Teachers; ACT Teachers Party-list,Education,2010,15th Congress,372903,1.24,1,Antonio Tinio,Antonio Tinio,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
AAMBIS-Owa Party List,aambis-owa-party-list,AAMBIS-Owa Party List,Ang Asosasyon Sang Mangunguma nga Bisaya-Owa Mangunguma,,AAMBIS-Owa; AAMBIS-Owa Party List,Agriculture / Farmers,2010,15th Congress,357804,1.19,1,Sharon Garin,Sharon Garin,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
You Against Corruption and Poverty,you-against-corruption-and-poverty,You Against Corruption and Poverty,You Against Corruption and Poverty,,,Anti-crime / Governance,2010,15th Congress,337487,1.12,1,Carol Jane Lopez,Carol Jane Lopez,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Association of Philippine Electric Cooperatives,association-of-philippine-electric-cooperatives,Association of Philippine Electric Cooperatives,Association of Philippine Electric Cooperatives,,APEC; APEC Partylist; Association of Philippine Electric Cooperatives,Energy / Cooperatives,2010,15th Congress,313689,1.04,1,Ponciano Payuyo,Ponciano Payuyo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Alliance for Nationalism and Democracy,alliance-for-nationalism-and-democracy,Alliance for Nationalism and Democracy,Alliance for Nationalism and Democracy,,,,2010,15th Congress,297984,0.99,1,Pastor Alcover Jr.,Pastor Alcover Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Kasangga sa Kaunlaran,kasangga-sa-kaunlaran,Kasangga sa Kaunlaran,Kasangga sa Kaunlaran,,,,2010,15th Congress,296695,0.99,1,Teodorico Haresco Jr.,Teodorico Haresco Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bagong Henerasyon,bagong-henerasyon,Bagong Henerasyon,Bagong Henerasyon,,,,2010,15th Congress,293079,0.97,1,Bernadette Herrera,Bernadette Herrera,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ang Galing Pinoy,ang-galing-pinoy,Ang Galing Pinoy,Ang Galing Pinoy,,,,2010,15th Congress,269273,0.89,1,Mikey Arroyo,Mikey Arroyo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Agbiag! Timpuyog Ilocano,agbiag-timpuyog-ilocano,Agbiag! Timpuyog Ilocano,Agbiag! Timpuyog Ilocano,,,Regional,2010,15th Congress,263234,0.87,1,Patricio Antonio,Patricio Antonio,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Puwersa ng Bayaning Atleta,puwersa-ng-bayaning-atleta,Puwersa ng Bayaning Atleta,Puwersa ng Bayaning Atleta,,,,2010,15th Congress,258869,0.86,1,Mark Aeron Sambar,Mark Aeron Sambar,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
"Arts, Business and Science Professionals",arts-business-and-science-professionals,"Arts, Business and Science Professionals","Arts, Business and Science Professionals",,,,2010,15th Congress,257457,0.86,1,Catalina Leonen-Pizarro,Catalina Leonen-Pizarro,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Trade Union Congress Party,trade-union-congress-party,Trade Union Congress Party,Trade Union Congress Party,,TUCP; Trade Union Congress Partylist,,2010,15th Congress,245031,0.81,1,Raymond Mendoza,Raymond Mendoza,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Alyansa ng mga Grupong Haligi ng Agham at Teknolohiya Para sa Mamamayan,alyansa-ng-mga-grupong-haligi-ng-agham-at-teknolohiya-para-sa-mamamayan,Alyansa ng mga Grupong Haligi ng Agham at Teknolohiya Para sa Mamamayan,Alyansa ng mga Grupong Haligi ng Agham at Teknolohiya Para sa Mamamayan,,,,2010,15th Congress,242630,0.81,1,Angelo Palmones,Angelo Palmones,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Democratic Independent Workers Association,democratic-independent-workers-association,Democratic Independent Workers Association,Democratic Independent Workers' Association,,,Labor / Workers / OFW,2010,15th Congress,239029,0.79,1,Emmeline Aglipay-Villar,Emmeline Aglipay-Villar,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Kapatiran ng mga Nakulong na Walang Sala,kapatiran-ng-mga-nakulong-na-walang-sala,Kapatiran ng mga Nakulong na Walang Sala,Kapatiran ng mga Nakulong na Walang Sala,,,,2010,15th Congress,234788,0.78,1,Ranulfo Canonigo,Ranulfo Canonigo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Kalinga-Advocacy for Social Empowerment and Nation Building Through Easing Poverty,kalinga-advocacy-for-social-empowerment-and-nation-building-through-easing-poverty,Kalinga-Advocacy for Social Empowerment and Nation Building Through Easing Poverty,Kalinga-Advocacy for Social Empowerment and Nation Building Through Easing Poverty,,,Energy / Cooperatives,2010,15th Congress,230516,0.77,1,Abigail Faye Ferriol,Abigail Faye Ferriol,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ang Laban ng Indigong Filipino,ang-laban-ng-indigong-filipino,Ang Laban ng Indigong Filipino,Ang Laban ng Indigong Filipino,,,,2010,15th Congress,227431,0.76,1,Acmad Tomawis,Acmad Tomawis,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Alagad,alagad,Alagad,Alagad,,,,2010,15th Congress,227281,0.76,1,Rodante Marcoleta,Rodante Marcoleta,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
1-United Transport Koalisyon,1-united-transport-koalisyon,1-United Transport Koalisyon,1-United Transport Koalisyon,,,Transport,2010,15th Congress,220617,0.73,1,Homero Mercado; Zenaida Maranan,Homero Mercado; Zenaida Maranan,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Homero Mercado resigned on May 29, 2012; Zenaida Maranan took office on October 9, 2012.",https://en.wikipedia.org/wiki/Template:2010_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Homero Mercado resigned on May 29, 2012; Zenaida Maranan took office on October 9, 2012.",Congress membership list / party page cross-check
